X: -1.00   	Y: 0.17   	Z: 9.34  	
X: -1.10   	Y: 0.31   	Z: 9.31  	
X: -1.06   	Y: 0.20   	Z: 9.32  	
X: -1.01   	Y: 0.22   	Z: 9.36  	
X: -1.04   	Y: 0.20   	Z: 9.37  	
X: -1.00   	Y: -0.54   	Z: 9.35  	
X: -1.41   	Y: -0.02   	Z: 9.42  	
X: -1.19   	Y: 1.51   	Z: 9.40  	
X: -1.05   	Y: 1.32   	Z: 9.48  	
X: -0.88   	Y: -0.20   	Z: 9.38  	
X: -0.99   	Y: 0.12   	Z: 9.35  	
X: -0.59   	Y: -0.14   	Z: 9.43  	
X: -1.37   	Y: 0.94   	Z: 9.37  	
X: -0.82   	Y: 0.98   	Z: 9.37  	
X: -1.17   	Y: -0.07   	Z: 9.49  	
X: -0.82   	Y: -0.12   	Z: 9.32  	
X: -0.67   	Y: -0.18   	Z: 9.39  	
X: -1.19   	Y: 1.09   	Z: 9.39  	
X: -1.13   	Y: 1.02   	Z: 9.41  	
X: -1.03   	Y: -0.11   	Z: 9.34  	
X: -1.02   	Y: 0.24   	Z: 9.41  	
X: -1.05   	Y: 0.24   	Z: 9.38  	
X: -1.16   	Y: 0.40   	Z: 9.40  	
X: -1.05   	Y: 0.23   	Z: 9.39  	
