X: -1.15   	Y: 1.14   	Z: 9.10  
X: -1.76   	Y: 0.50   	Z: 9.37  
X: -1.31   	Y: 0.75   	Z: 8.50  
X: -1.24   	Y: 0.87   	Z: 8.78  
X: -1.28   	Y: 0.73   	Z: 9.69  
X: -1.11   	Y: 0.73   	Z: 10.32  
X: -0.88   	Y: 1.07   	Z: 9.22  
X: -1.02   	Y: 0.53   	Z: 9.05  
X: -1.11   	Y: 0.29   	Z: 9.06  
X: -1.09   	Y: 0.66   	Z: 9.06  
X: -1.29   	Y: 0.88   	Z: 10.14  
X: -1.32   	Y: 0.73   	Z: 11.31  
X: -1.12   	Y: 1.08   	Z: 8.92  
X: -1.66   	Y: 0.05   	Z: 8.13  
X: -0.85   	Y: 0.53   	Z: 8.96  
X: -0.79   	Y: 0.37   	Z: 10.34  
X: -1.31   	Y: 0.46   	Z: 9.00  
X: -1.49   	Y: 0.60   	Z: 9.69  
X: -1.09   	Y: 0.76   	Z: 9.52  
X: -1.14   	Y: 0.34   	Z: 9.40  
X: -1.05   	Y: 0.21   	Z: 9.41  
